None,ticker,Date,Open,High,Low,Close,Volume,Adj_Close
876,AMZN,9/30/2014,321.36,323.43,318.51,322.44,2639967,322.44
877,AMZN,9/29/2014,320.5,323.75,319,321.82,1929589,321.82
878,AMZN,9/26/2014,320.6,323.5,317.64,323.21,3639155,323.21
879,AMZN,9/25/2014,327.99,328.54,321.4,321.93,2925241,321.93
880,AMZN,9/24/2014,324.17,329.44,319.56,328.21,2635754,328.21
881,AMZN,9/23/2014,322.46,327.6,321.25,323.63,2352600,323.63
882,AMZN,9/22/2014,328.49,329.49,321.06,324.5,3109700,324.5
883,AMZN,9/19/2014,327.6,332.7559,325.57,331.32,6886200,331.32
884,AMZN,9/18/2014,325.44,327.1,323.7105,325,2576900,325
885,AMZN,9/17/2014,327.76,328,321.52,324,4136000,324
886,AMZN,9/16/2014,321.07,329.48,320.1,327.76,3259900,327.76
887,AMZN,9/15/2014,330.91,331.33,319,323.89,4000400,323.89
888,AMZN,9/12/2014,329.56,332.89,328.79,331.19,3429300,331.19
889,AMZN,9/11/2014,329.94,333.01,326.39,330.52,2720200,330.52
890,AMZN,9/10/2014,334.3,334.98,328.82,331.33,3797400,331.33
891,AMZN,9/9/2014,341.61,341.76,329.18,329.75,4634000,329.75
892,AMZN,9/8/2014,344.54,345.81,339.04,342.34,2955300,342.34
893,AMZN,9/5/2014,346.3,346.827,342.5,346.38,2107000,346.38
894,AMZN,9/4/2014,343.69,349.38,343.58,345.95,3952200,345.95
895,AMZN,9/3/2014,342.54,343.27,337.55,339,1993700,339
896,AMZN,9/2/2014,339.98,342.5,337.1587,342.38,2326000,342.38
897,AMZN,8/29/2014,341.76,341.8199,337.68,339.04,1939500,339.04
898,AMZN,8/28/2014,340,341.79,338.8,340.02,2252700,340.02
899,AMZN,8/27/2014,342.09,346.67,341.34,343.18,2961600,343.18
900,AMZN,8/26/2014,337,344.36,334.55,341.83,3638200,341.83
901,AMZN,8/25/2014,333.21,336.77,332.71,334.02,1957700,334.02
902,AMZN,8/22/2014,332.99,334.08,330.8,331.59,2211200,331.59
903,AMZN,8/21/2014,336.48,336.582,332.23,332.91,1971100,332.91
904,AMZN,8/20/2014,334.68,337.16,334.022,335.78,1810500,335.78
905,AMZN,8/19/2014,334.87,335.81,333.01,335.13,1713800,335.13
906,AMZN,8/18/2014,335.48,337.8,333.77,334.53,2485400,334.53
907,AMZN,8/15/2014,334,335,328.32,333.63,3896700,333.63
908,AMZN,8/14/2014,327.8,334.09,326.71,333.21,3420400,333.21
909,AMZN,8/13/2014,327.6,331.72,326.14,326.28,4939100,326.28
910,AMZN,8/12/2014,318.89,321.31,316.95,319.32,1915800,319.32
911,AMZN,8/11/2014,318.48,320.38,316.88,318.33,2468600,318.33
912,AMZN,8/8/2014,311.94,317.32,310.66,316.8,2705900,316.8
913,AMZN,8/7/2014,315.21,315.8774,309.655,311.45,2935600,311.45
914,AMZN,8/6/2014,310.83,315.78,310.2,313.89,2296900,313.89
915,AMZN,8/5/2014,313.3,314.55,310.06,312.32,2852100,312.32
916,AMZN,8/4/2014,308.84,316.18,308.5,313.65,4200900,313.65
917,AMZN,8/1/2014,313.69,315.83,304.588,307.06,7441500,307.06
918,AMZN,7/31/2014,320.01,320.6836,311.86,312.99,5192000,312.99
919,AMZN,7/30/2014,321.45,322.73,318.5,322.51,3969000,322.51
920,AMZN,7/29/2014,321.98,322.8999,319.5,320,2883800,320
921,AMZN,7/28/2014,324.25,324.82,316.5,320.41,5932000,320.41
922,AMZN,7/25/2014,317.3,324.87,314.76,324.01,17846500,324.01
923,AMZN,7/24/2014,359.98,364.85,358.52,358.61,7000000,358.61
924,AMZN,7/23/2014,359.05,360.63,356.62,358.14,2687300,358.14
925,AMZN,7/22/2014,355.25,362.93,355.25,360.84,2888900,360.84
926,AMZN,7/21/2014,358.1,361.71,356.72,359.76,2278400,359.76
927,AMZN,7/18/2014,354.4,359.68,352.08,358.66,3407400,358.66
928,AMZN,7/17/2014,353.44,356.96,351.38,352.454,3636000,352.454
929,AMZN,7/16/2014,355.62,359.32,353,355.9,3503600,355.9
930,AMZN,7/15/2014,353.72,355.59,349.4,354.44,4170900,354.44
931,AMZN,7/14/2014,347.03,355.77,345.356,355.32,5609900,355.32
932,AMZN,7/11/2014,334.71,347,334.71,346.2,8300800,346.2
933,AMZN,7/10/2014,324.34,329.98,322.65,327.92,2665000,327.92
934,AMZN,7/9/2014,324.71,330.2,323.15,329.97,3166100,329.97
935,AMZN,7/8/2014,333.1,333.7397,321.4,323.81,4271600,323.81
936,AMZN,7/7/2014,337.5,337.55,332.52,333.55,2128900,333.55
937,AMZN,7/3/2014,334.83,338.3,333.08,337.492,1944300,337.492
938,AMZN,7/2/2014,333.2,336.76,331.66,332.85,2681300,332.85
939,AMZN,7/1/2014,325.86,333.2,325.1,332.39,3173600,332.39
940,AMZN,6/30/2014,324.98,326.98,322.24,324.78,2671300,324.78
941,AMZN,6/27/2014,325.88,326.52,323.27,324.57,2416200,324.57
942,AMZN,6/26/2014,328.49,328.65,322.13,325.69,2699500,325.69
943,AMZN,6/25/2014,324.33,328.15,321.74,327.44,2327800,327.44
944,AMZN,6/24/2014,327.54,329.73,322.738,324.16,2626600,324.16
945,AMZN,6/23/2014,323.33,327.55,321.41,327.24,2604800,327.24
946,AMZN,6/20/2014,327.76,328.22,320.42,324.2,6054000,324.2
947,AMZN,6/19/2014,335.255,338.9,325.98,327,5320600,327
948,AMZN,6/18/2014,328,335.75,325,334.38,6401500,334.38
949,AMZN,6/17/2014,327.54,331.34,325.23,325.62,2904200,325.62
950,AMZN,6/16/2014,324.86,328.6945,323.52,327.62,2396100,327.62
951,AMZN,6/13/2014,327.05,329.298,323.5262,326.27,2764800,326.27
952,AMZN,6/12/2014,335.55,335.55,324.66,325.91,4263000,325.91
953,AMZN,6/11/2014,336,340.7199,333.8772,335.2,4436800,335.2
954,AMZN,6/10/2014,327.65,335.5,327.5,332.41,3663400,332.41
955,AMZN,6/9/2014,331.57,333,325.65,327.5,3212200,327.5
956,AMZN,6/6/2014,325,330.88,324.93,329.67,5244000,329.67
957,AMZN,6/5/2014,308.1,327.94,306.9,323.57,7796700,323.57
958,AMZN,6/4/2014,306.85,309.5,303.84,306.78,2107100,306.78
959,AMZN,6/3/2014,305.75,307.92,305.07,307.19,2379200,307.19
960,AMZN,6/2/2014,312.59,312.6,307,308.84,2203400,308.84
961,AMZN,5/30/2014,314.43,314.65,307.57,312.55,4260200,312.55
962,AMZN,5/29/2014,310.42,314.87,310.2,313.78,2365500,313.78
963,AMZN,5/28/2014,309.5,313.82,307.42,310.16,2726000,310.16
964,AMZN,5/27/2014,314.41,314.6296,307.38,310.82,4862100,310.82
965,AMZN,5/23/2014,305.46,312.35,304.9,312.24,3052900,312.24
966,AMZN,5/22/2014,305.05,308.54,303.01,304.91,2576800,304.91
967,AMZN,5/21/2014,302.21,305.96,301.5201,305.01,3408800,305.01
968,AMZN,5/20/2014,297.1,304.46,296.75,301.19,4095700,301.19
969,AMZN,5/19/2014,295.76,299,293.81,296.755,2284200,296.755
